mode,load,0_densenet201-4,1_resnet34-4,2_squeezenet1_0-2
mps-uncap,0.8,15.81139087677002,3.201723098754883,1.828908920288086
mps-uncap,0.9,15.351581573486328,3.303871154785156,1.7132759094238281
mps-uncap,1.0,15.094356536865233,3.0975341796875,1.8768310546875
mps-uncap,0.5,20.88240385055542,4.885392189025879,2.4943137168884286
mps-uncap,0.6,16.353292465209964,4.457664489746096,1.8916726112365723
mps-uncap,0.7,15.895068645477295,3.3950996398925777,1.7094373703002934
mps-uncap,0.1,30.409560203552235,5.63889741897583,3.0692887306213366
mps-uncap,0.2,23.227205276489254,5.56567907333374,2.994723320007324
mps-uncap,0.3,21.931848526000973,5.449347496032715,3.0257081985473633
mps-uncap,0.4,21.601438522338867,5.306611061096191,2.8569173812866206
