mode,load,0_densenet121-4,1_densenet121-8,2_efficientnet_b5-16
mps-uncap,0.8,194.8074001580494,381.57228515684926,637.8000427215776
mps-uncap,0.9,225.24938770500222,424.8398961265371,692.463720203203
mps-uncap,1.0,215.20926037669088,415.20379624797926,731.9040541901691
mps-uncap,0.5,120.03262116113635,235.94018054347305,397.23189298876207
mps-uncap,0.6,145.99071326167322,283.5298806275174,451.62623345830866
mps-uncap,0.7,174.94060339966344,324.4683122100571,561.4827732928179
mps-uncap,0.1,24.73030502803066,48.561061559524816,89.2907209535556
mps-uncap,0.2,50.64651483406002,94.94796827798874,157.83749112350557
mps-uncap,0.3,70.94446025722726,135.8002735354657,236.7604135415186
mps-uncap,0.4,99.80703844932506,186.4366332676507,306.917946335751
