mode,load,0_efficientnet_b5-16,1_efficientnet_b5-32,2_squeezenet1_0-8
mps-uncap,0.8,37.20593452453613,41.25475883483887,5.059242248535156
mps-uncap,0.9,40.44365882873535,43.8847541809082,5.637049674987793
mps-uncap,1.0,45.0139045715332,46.29242420196533,6.29425048828125
mps-uncap,0.5,17.734169960021973,31.37683868408203,2.807140350341797
mps-uncap,0.6,19.684672355651855,33.49423408508301,3.2967329025268555
mps-uncap,0.7,22.22895622253418,34.92724895477295,3.70633602142334
mps-uncap,0.1,21.519899368286133,27.54688262939453,2.700328826904297
mps-uncap,0.2,21.109580993652344,28.583407402038574,2.712249755859375
mps-uncap,0.3,18.837451934814453,28.962135314941406,2.6230812072753906
mps-uncap,0.4,17.611980438232422,29.54089641571045,2.5811195373535156
