mode,load,0_efficientnet_b5-16,1_efficientnet_b5-32,2_squeezenet1_0-8
mps-uncap,0.8,280.2667757913007,516.1976671994796,835.8163393145136
mps-uncap,0.9,308.08722731324804,610.6976591737952,919.0931196512598
mps-uncap,1.0,345.8296043739241,654.8765632475115,1055.586836342312
mps-uncap,0.5,186.9869169392592,346.8564255984469,514.9053778231641
mps-uncap,0.6,202.39663832487167,391.8988579440384,616.0537480570613
mps-uncap,0.7,237.04696253567647,461.59600045069885,719.3870156638067
mps-uncap,0.1,34.95377632804913,67.73962178535797,106.38048432085637
mps-uncap,0.2,69.47064949796471,131.6878963113808,213.26168451988934
mps-uncap,0.3,104.61624271358639,206.16780939538287,311.5967596100373
mps-uncap,0.4,134.41890776837457,264.3555631667814,427.90769902006986
