mode,load,0_efficientnet_b5-16,1_efficientnet_b5-32,2_squeezenet1_0-8
mps-uncap,0.8,227.08414077758763,452.00586318969727,50.76663494110106
mps-uncap,0.9,373.251621723175,412.94179201126065,60.0184845924378
mps-uncap,1.0,1949.2015361785889,908.9791417121902,227.2021579742431
mps-uncap,0.5,89.39112186431888,113.30437660217285,18.269050121307366
mps-uncap,0.6,126.49572610855101,130.10131120681763,24.296097755432143
mps-uncap,0.7,135.23378372192386,152.68339633941667,26.959803104400628
mps-uncap,0.1,45.607814788818345,49.453892707824714,8.703670501708984
mps-uncap,0.2,54.92533206939698,64.79074239730835,8.821246623992915
mps-uncap,0.3,66.56832218170166,71.01649284362793,12.300119400024418
mps-uncap,0.4,63.5071563720703,77.67401456832884,13.09743404388428
