mode,load,0_efficientnet_b5-16,1_efficientnet_b5-32,2_squeezenet1_0-8
mps-uncap,0.8,240.83852767944336,564.9988651275635,69.8251724243164
mps-uncap,0.9,375.95176696777344,422.468900680542,79.13780212402344
mps-uncap,1.0,1973.3762741088867,1088.538408279419,257.6718330383301
mps-uncap,0.5,86.6842269897461,134.2756748199463,20.158052444458008
mps-uncap,0.6,166.75925254821777,117.31457710266113,36.04888916015625
mps-uncap,0.7,128.80563735961914,163.08355331420898,39.48044776916504
mps-uncap,0.1,40.09294509887695,22.66383171081543,7.674932479858398
mps-uncap,0.2,38.364410400390625,53.03359031677246,7.146358489990234
mps-uncap,0.3,62.40344047546387,55.32574653625488,14.485359191894531
mps-uncap,0.4,47.429561614990234,62.39032745361328,13.957023620605469
