mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-8,2_resnet34-2
mps-uncap,0.8,304.22634840011574,96.94202423095696,51.432149410247796
mps-uncap,0.9,518.8174057006836,4509.340763092041,262.944393157959
mps-uncap,1.0,7728.170871734619,4398.966054916381,3508.33625793457
mps-uncap,0.5,64.52327728271484,21.171283721923842,12.281332015991214
mps-uncap,0.6,103.50709199905388,27.333636283874508,20.512399673461946
mps-uncap,0.7,147.28669643402094,77.7054214477537,30.070090293884263
mps-uncap,0.1,24.121606349945054,11.994116306304955,8.166437149047885
mps-uncap,0.2,22.242069244384766,16.14348888397216,11.484806537628172
mps-uncap,0.3,37.570357322692864,15.215868949890094,12.9765772819519
mps-uncap,0.4,56.075291633605936,14.45873260498047,12.354216575622546
