mode,load,0_alexnet-32,1_densenet201-16,2_resnet18-16
mps-uncap,0.8,15.260457992553711,48.80213737487793,19.547462463378906
mps-uncap,0.9,14.295816421508789,48.48480224609375,17.769575119018555
mps-uncap,1.0,15.526533126831055,57.54423141479492,20.32470703125
mps-uncap,0.5,12.207269668579102,39.19386863708496,14.495134353637695
mps-uncap,0.6,16.58344268798828,50.02737045288086,14.904499053955078
mps-uncap,0.7,14.774560928344727,49.09849166870117,17.88187026977539
mps-uncap,0.1,10.226964950561523,47.6987361907959,11.432170867919922
mps-uncap,0.2,11.404991149902344,38.05732727050781,13.224363327026367
mps-uncap,0.3,20.65443992614746,38.861751556396484,12.14289665222168
mps-uncap,0.4,11.012792587280273,40.918588638305664,13.962745666503906
