mode,load,0_alexnet-32,1_densenet201-16,2_resnet18-16
mps-uncap,0.8,76.55940055847175,186.6462230682373,36.81483268737794
mps-uncap,0.9,4174.162292480469,463.97852897644043,131.6318273544311
mps-uncap,1.0,5385.965466499329,2044.6492433547974,4645.840430259704
mps-uncap,0.5,9.63678359985352,50.0585079193115,9.747314453125002
mps-uncap,0.6,11.873817443847656,75.21438598632812,12.739515304565439
mps-uncap,0.7,18.43943595886232,95.23115158081055,18.570423126220703
mps-uncap,0.1,7.158994674682617,37.71343231201172,6.800556182861332
mps-uncap,0.2,7.166504859924318,35.76323986053467,7.36546516418457
mps-uncap,0.3,7.432842254638674,37.06624507904053,7.798671722412108
mps-uncap,0.4,8.161497116088865,40.06996154785156,8.7371826171875
