mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4
mig,0.1,0.010728836059570312,0.01049041748046875
mig,0.2,0.010013580322265625,0.009775161743164062
mig,0.3,0.009059906005859375,0.010013580322265625
mig,0.4,0.008106231689453125,0.00858306884765625
mig,0.5,0.008106231689453125,0.008106231689453125
mig,0.6,0.008106231689453125,0.00762939453125
mig,0.7,0.008106231689453125,0.0073909759521484375
mig,0.8,0.007867813110351562,0.008106231689453125
mig,0.9,0.007867813110351562,0.007867813110351562
mig,1.0,0.00858306884765625,0.009775161743164062
