mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4
mig,0.1,0.04220008850097656,0.042438507080078125
mig,0.2,0.040531158447265625,0.04172325134277344
mig,0.3,0.04792213439941406,0.045299530029296875
mig,0.4,0.27251243591308594,0.09465217590332031
mig,0.5,0.3992319107055664,0.4010200500488281
mig,0.6,0.971674919128418,1.0552406311035156
mig,0.7,1.6131401062011719,1.5600919723510742
mig,0.8,2.6886463165283203,2.9172897338867188
mig,0.9,5.029439926147461,6.158590316772461
mig,1.0,32.887935638427734,175.84753036499023
