mode,load,0_mobilenet_v2-4,1_mobilenet_v2-4
mig,0.1,12.803125381469734,13.619024753570544
mig,0.2,16.068148612976074,16.719579696655273
mig,0.3,17.062063217163118,16.024529933929443
mig,0.4,14.489350318908683,14.358592033386227
mig,0.5,13.435819149017341,12.928087711334177
mig,0.6,12.12631464004519,14.690389633178711
mig,0.7,17.250432968139652,18.654172420501677
mig,0.8,24.258298873901282,25.337114334106456
mig,0.9,29.97443199157708,46.31282329559323
mig,1.0,113.57302665710452,333.44507217407227
