mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_resnet101-16
mps-uncap,0.8,400.72553640393784,1845.8502128554753,418.65710303048627
mps-uncap,0.9,467.0790188543808,2115.524450169167,464.0709399310575
mps-uncap,1.0,532.030063968857,2367.337978844094,488.036021492406
mps-uncap,0.5,265.87056957810864,1139.942261722297,263.68882726699246
mps-uncap,0.6,310.5041937857601,1361.1199235491297,296.53360887536473
mps-uncap,0.7,346.82076779038925,1656.1370356574262,348.49983794657726
mps-uncap,0.1,60.19921321379272,212.17850865473557,59.25270625708032
mps-uncap,0.2,103.29889183360449,414.88605616012376,102.37759340328203
mps-uncap,0.3,163.57020317961778,689.9535397961434,159.85343004928424
mps-uncap,0.4,207.72842397575468,932.3854064806133,202.90918538684494
