mode,load,0_densenet161-32,1_mobilenet_v3_large-32,2_resnet101-16
mps-uncap,0.8,30.21240234375,4.827737808227539,10.04934310913086
mps-uncap,0.9,30.23552894592285,4.799127578735352,10.04171371459961
mps-uncap,1.0,31.11124038696289,4.871368408203125,10.19740104675293
mps-uncap,0.5,30.0748348236084,4.831552505493164,10.021448135375977
mps-uncap,0.6,30.02476692199707,4.80198860168457,10.006904602050781
mps-uncap,0.7,30.141830444335938,4.830598831176758,10.026693344116211
mps-uncap,0.1,30.07054328918457,4.868745803833008,10.066747665405273
mps-uncap,0.2,30.01117706298828,4.81104850769043,10.036706924438477
mps-uncap,0.3,29.989004135131836,4.810333251953125,10.048389434814453
mps-uncap,0.4,30.03096580505371,4.803180694580078,10.030746459960938
