mode,load,0_densenet169-2,1_resnet50-8,2_squeezenet1_0-8
mps-uncap,0.8,0.011205673217773438,0.009775161743164062,0.008344650268554688
mps-uncap,0.9,0.012159347534179688,0.010013580322265625,0.008106231689453125
mps-uncap,1.0,0.01239776611328125,0.009775161743164062,0.008344650268554688
mps-uncap,0.5,0.010013580322265625,0.01049041748046875,0.009059906005859375
mps-uncap,0.6,0.012159347534179688,0.010251998901367188,0.0095367431640625
mps-uncap,0.7,0.0095367431640625,0.008821487426757812,0.0073909759521484375
mps-uncap,0.1,0.012874603271484375,0.011682510375976562,0.010728836059570312
mps-uncap,0.2,0.012874603271484375,0.01049041748046875,0.0095367431640625
mps-uncap,0.3,0.01239776611328125,0.010967254638671875,0.009775161743164062
mps-uncap,0.4,0.010251998901367188,0.011205673217773438,0.009775161743164062
