mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,33.239612579345696,36.66194438934327,18.43291521072387
mps-uncap,0.9,74.6976470947265,64.01156187057495,24.208588600158684
mps-uncap,1.0,257.1077251434326,112.21595764160156,318.2906699180603
mps-uncap,0.5,18.70699167251581,19.29158210754394,6.421768665313725
mps-uncap,0.6,20.831966400146488,19.67470645904541,8.331136703491213
mps-uncap,0.7,23.128690719604418,27.74633169174196,10.04655599594113
mps-uncap,0.1,11.975097656249998,11.925816535949707,1.8960332870483396
mps-uncap,0.2,17.516183853149418,18.86153221130371,2.344226837158196
mps-uncap,0.3,23.599109649658082,23.361549377441392,3.7442684173583975
mps-uncap,0.4,20.552091598510728,20.970816612243656,4.353370666503908
