mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,6.550788879394531,6.623983383178711,2.245664596557617
mps-uncap,0.9,7.107734680175781,7.056236267089844,2.32696533203125
mps-uncap,1.0,7.574319839477539,7.015466690063477,2.4871826171875
mps-uncap,0.5,7.717609405517578,7.035374641418457,2.190828323364258
mps-uncap,0.6,6.419897079467773,6.331205368041992,2.216339111328125
mps-uncap,0.7,6.312847137451172,6.318807601928711,2.1979808807373047
mps-uncap,0.1,11.835098266601562,11.812448501586914,2.1278858184814453
mps-uncap,0.2,11.528253555297852,11.174678802490234,2.133607864379883
mps-uncap,0.3,9.253501892089844,9.180545806884766,2.156496047973633
mps-uncap,0.4,8.011579513549805,7.946252822875977,2.168416976928711
