mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,7.902956008911133,7.930135726928711,2.440929412841797
mps-uncap,0.9,8.048295974731445,8.028125762939453,2.4869441986083984
mps-uncap,1.0,8.124446868896484,7.54547119140625,2.621173858642578
mps-uncap,0.5,9.242939949035645,9.183073043823242,2.4187564849853516
mps-uncap,0.6,8.289337158203125,8.351874351501465,2.4710655212402344
mps-uncap,0.7,7.910728454589844,8.001303672790527,2.409696578979492
mps-uncap,0.1,12.641549110412598,12.958049774169922,2.2912025451660156
mps-uncap,0.2,12.395024299621582,12.24207878112793,2.3233890533447266
mps-uncap,0.3,12.409114837646484,12.696695327758789,2.3746490478515625
mps-uncap,0.4,11.264848709106445,11.279439926147463,2.381563186645508
