mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,196.54197803531656,197.22318625955438,635.5421049522562
mps-uncap,0.9,218.53033958138562,228.2699189578708,717.1068886347343
mps-uncap,1.0,252.05813651409798,253.4513839229428,805.9172508644328
mps-uncap,0.5,120.50383082944367,125.65704362245181,400.3061623266304
mps-uncap,0.6,146.48635460739084,147.50898621203243,469.098789166297
mps-uncap,0.7,169.75571926736873,172.04653274184196,567.5823756748342
mps-uncap,0.1,26.22395003946907,24.715770681140913,79.65403138471484
mps-uncap,0.2,48.896301778788654,48.79493783591246,158.57271529977194
mps-uncap,0.3,70.30648998041748,72.55723268169605,237.31075387804265
mps-uncap,0.4,97.19064568594331,97.44525286595395,314.5340229046598
