mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,4.755973815917969,4.781961441040039,1.9083023071289062
mps-uncap,0.9,4.826068878173828,4.759311676025391,1.922607421875
mps-uncap,1.0,5.697965621948242,5.627155303955078,1.934051513671875
mps-uncap,0.5,4.732370376586914,4.772663116455078,1.924753189086914
mps-uncap,0.6,4.715919494628906,4.708051681518555,1.9159317016601562
mps-uncap,0.7,4.761934280395508,4.750728607177734,1.9164085388183594
mps-uncap,0.1,4.735708236694336,4.855871200561523,1.9228458404541016
mps-uncap,0.2,4.824161529541016,4.686832427978516,1.9240379333496094
mps-uncap,0.3,4.924297332763672,4.696846008300781,1.9130706787109375
mps-uncap,0.4,4.717350006103516,4.65703010559082,1.9202232360839844
