mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,56.268930435180664,63.69209289550781,35.984039306640625
mps-uncap,0.9,113.62314224243164,106.19258880615234,40.968894958496094
mps-uncap,1.0,294.905424118042,171.61273956298828,345.8561897277832
mps-uncap,0.5,40.9388542175293,42.57321357727051,15.226364135742188
mps-uncap,0.6,36.23700141906738,42.87385940551758,20.965576171875
mps-uncap,0.7,52.659034729003906,59.46969985961914,19.154071807861328
mps-uncap,0.1,29.25395965576172,30.583620071411133,5.608320236206055
mps-uncap,0.2,37.89091110229492,37.552595138549805,6.500244140625
mps-uncap,0.3,43.950796127319336,43.247222900390625,9.549856185913086
mps-uncap,0.4,38.573265075683594,45.1970100402832,12.458086013793945
