mode,load,0_inception_v3-2,1_inception_v3-2,2_vgg16-2
mps-uncap,0.8,4.809379577636719,4.839181900024414,1.9197463989257812
mps-uncap,0.9,4.919528961181641,4.84466552734375,1.9407272338867188
mps-uncap,1.0,5.710601806640625,5.650043487548828,1.9474029541015625
mps-uncap,0.5,4.77910041809082,4.845619201660156,1.936197280883789
mps-uncap,0.6,4.81414794921875,4.7740936279296875,1.9299983978271484
mps-uncap,0.7,4.818201065063477,4.799842834472656,1.9321441650390625
mps-uncap,0.1,4.85539436340332,5.000829696655273,1.9381046295166016
mps-uncap,0.2,4.886865615844727,4.733562469482422,1.9376277923583984
mps-uncap,0.3,4.936456680297852,4.775524139404297,1.9288063049316406
mps-uncap,0.4,4.784584045410156,4.706621170043945,1.9316673278808594
