mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,11.077880859375,5.4950714111328125,5.543231964111328
mps-uncap,0.9,11.722564697265625,5.733013153076172,5.8116912841796875
mps-uncap,1.0,11.6041898727417,4.9953460693359375,5.800485610961914
mps-uncap,0.5,9.426355361938477,5.1403045654296875,4.709720611572266
mps-uncap,0.6,9.532928466796875,5.118966102600098,4.67526912689209
mps-uncap,0.7,9.242057800292969,5.448818206787109,5.529046058654785
mps-uncap,0.1,18.033266067504883,11.06572151184082,9.533047676086426
mps-uncap,0.2,14.405488967895508,8.609294891357422,7.970929145812988
mps-uncap,0.3,10.338068008422852,6.206989288330078,5.987405776977539
mps-uncap,0.4,9.53531265258789,5.309104919433594,5.006194114685059
