mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,14.127016067504883,9.963035583496094,9.49239730834961
mps-uncap,0.9,13.681173324584961,9.427309036254883,9.686470031738281
mps-uncap,1.0,13.137340545654297,8.536100387573242,10.143280029296875
mps-uncap,0.5,15.638589859008789,10.419845581054688,10.381937026977539
mps-uncap,0.6,14.135599136352539,10.338306427001953,10.137319564819336
mps-uncap,0.7,13.839483261108398,10.979175567626953,11.053085327148438
mps-uncap,0.1,23.926258087158203,14.443159103393555,11.809110641479492
mps-uncap,0.2,21.750688552856445,13.688802719116211,11.4288330078125
mps-uncap,0.3,19.145727157592773,11.277914047241211,11.616706848144531
mps-uncap,0.4,16.550540924072266,11.066198348999023,10.825872421264648
