mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,0.012159347534179688,0.010967254638671875,0.010251998901367188
mps-uncap,0.9,0.012636184692382812,0.01239776611328125,0.011920928955078125
mps-uncap,1.0,0.015735626220703125,0.011920928955078125,0.012159347534179688
mps-uncap,0.5,0.010013580322265625,0.010251998901367188,0.009775161743164062
mps-uncap,0.6,0.012159347534179688,0.0095367431640625,0.010013580322265625
mps-uncap,0.7,0.011682510375976562,0.010251998901367188,0.0095367431640625
mps-uncap,0.1,0.013589859008789062,0.012874603271484375,0.012636184692382812
mps-uncap,0.2,0.01239776611328125,0.01239776611328125,0.011920928955078125
mps-uncap,0.3,0.0095367431640625,0.0095367431640625,0.011920928955078125
mps-uncap,0.4,0.011682510375976562,0.01049041748046875,0.010251998901367188
