mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,18.799185752868652,21.852493286132812,14.135122299194336
mps-uncap,0.9,1762.7724409103394,2455.9326171875,2132.960081100464
mps-uncap,1.0,3917.282462120056,1118.2150840759277,5135.173439979553
mps-uncap,0.5,0.030159950256347656,1.1742115020751953,0.36597251892089844
mps-uncap,0.6,2.7043819427490234,3.4122467041015625,1.591801643371582
mps-uncap,0.7,4.362583160400391,7.887125015258789,7.342696189880371
mps-uncap,0.1,0.030994415283203125,0.030994415283203125,0.030755996704101562
mps-uncap,0.2,0.02956390380859375,0.029087066650390625,0.02956390380859375
mps-uncap,0.3,0.026702880859375,0.027894973754882812,0.027179718017578125
mps-uncap,0.4,0.026226043701171875,0.0286102294921875,0.026941299438476562
