mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,8.584260940551758,4.782915115356445,4.087686538696289
mps-uncap,0.9,8.847951889038086,4.877567291259766,4.1370391845703125
mps-uncap,1.0,8.687973022460938,4.829645156860352,4.183530807495117
mps-uncap,0.5,8.586645126342773,4.837512969970703,4.123449325561523
mps-uncap,0.6,8.516788482666016,4.799365997314453,4.085540771484375
mps-uncap,0.7,8.559703826904297,4.886865615844727,4.166841506958008
mps-uncap,0.1,8.62884521484375,4.895925521850586,4.175901412963867
mps-uncap,0.2,8.592605590820312,4.776954650878906,4.051923751831055
mps-uncap,0.3,8.443355560302734,4.806280136108398,4.105806350708008
mps-uncap,0.4,8.577108383178711,4.813671112060547,4.137754440307617
