mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,87.50627040863037,103.16472053527836,67.11721420288086
mps-uncap,0.9,2424.856233596802,3895.392417907715,4075.267934799195
mps-uncap,1.0,7191.41767024994,1966.3550853729248,9492.51139163971
mps-uncap,0.5,23.46646785736084,15.144586563110352,12.798881530761719
mps-uncap,0.6,29.27556037902832,20.1491117477417,14.737701416015627
mps-uncap,0.7,29.609489440917972,38.66105079650878,39.06385898590088
mps-uncap,0.1,22.76432514190674,16.78023338317871,15.043163299560552
mps-uncap,0.2,22.394657135009766,16.738557815551758,14.31739330291748
mps-uncap,0.3,18.929147720336914,14.043283462524414,12.529611587524414
mps-uncap,0.4,19.30122375488282,13.117551803588867,11.735773086547853
