mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,627.99932589232,2622.3748073532784,5205.495226726529
mps-uncap,0.9,682.2625525991922,2719.0911732930304,5448.106495237509
mps-uncap,1.0,688.338064986596,3134.2035660310426,5487.837611552223
mps-uncap,0.5,385.88656138423386,1629.4529950004212,3229.724391377242
mps-uncap,0.6,460.0686098208525,1934.2082529997624,3773.3260670532077
mps-uncap,0.7,548.843786054111,2284.885330490733,4605.454967953588
mps-uncap,0.1,73.13762308045789,310.67631805311225,657.6373949272089
mps-uncap,0.2,149.44956372172405,650.3546351449945,1274.5825664197885
mps-uncap,0.3,237.63347089882544,963.9503985614016,1967.4721048536978
mps-uncap,0.4,316.67665399124553,1282.5690439214777,2681.1138703905717
