mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,8.665800094604492,4.8427581787109375,4.1484832763671875
mps-uncap,0.9,9.180784225463867,5.000829696655273,4.2438507080078125
mps-uncap,1.0,9.420156478881836,4.955530166625977,4.257917404174805
mps-uncap,0.5,8.638858795166016,4.874706268310547,4.14729118347168
mps-uncap,0.6,8.570194244384766,4.837512969970703,4.114389419555664
mps-uncap,0.7,8.612394332885742,4.903078079223633,4.200458526611328
mps-uncap,0.1,8.83936882019043,5.074501037597656,4.483699798583984
mps-uncap,0.2,8.670568466186523,4.8046112060546875,4.131555557250977
mps-uncap,0.3,8.501529693603516,4.832744598388672,4.13823127746582
mps-uncap,0.4,8.606910705566406,4.853248596191406,4.168272018432617
