mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,295.1476573944092,304.2948246002197,264.40930366516113
mps-uncap,0.9,2653.0745029449463,4449.735403060913,4751.117467880249
mps-uncap,1.0,8364.633083343506,2279.740810394287,10752.36988067627
mps-uncap,0.5,64.86845016479492,48.501014709472656,30.117034912109375
mps-uncap,0.6,97.80049324035645,55.830955505371094,41.57686233520508
mps-uncap,0.7,76.94888114929199,104.94279861450195,146.4385986328125
mps-uncap,0.1,51.186561584472656,33.13398361206055,35.35270690917969
mps-uncap,0.2,42.58084297180176,37.11247444152832,28.508424758911133
mps-uncap,0.3,45.94111442565918,31.98981285095215,32.999515533447266
mps-uncap,0.4,43.43104362487793,33.99062156677246,35.0492000579834
