mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,12.501885890960695,7.668132781982428,7.956004142761229
mps-uncap,0.9,12.192800045013428,6.461334228515625,6.182339191436768
mps-uncap,1.0,12.645757198333737,5.908966064453125,6.688225269317627
mps-uncap,0.5,12.903475761413583,8.415675163269036,8.60253572463989
mps-uncap,0.6,12.819032669067383,8.207130432128903,8.548107147216797
mps-uncap,0.7,10.946760177612305,8.444099426269537,9.168863296508789
mps-uncap,0.1,21.661138534545902,12.186493873596193,10.53565740585327
mps-uncap,0.2,19.99533176422119,11.431465148925781,10.007691383361816
mps-uncap,0.3,16.077275276184082,10.4571533203125,9.311885833740234
mps-uncap,0.4,14.643807411193844,9.148287773132326,8.703298568725586
