mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,29.64317798614502,27.521133422851562,19.578218460083008
mps-uncap,0.9,1774.2576599121094,2461.5349769592285,2138.845443725586
mps-uncap,1.0,3928.905129432678,1123.2354640960693,5141.189932823181
mps-uncap,0.5,11.242389678955078,7.108211517333984,6.260275840759277
mps-uncap,0.6,12.594461441040039,8.697032928466797,6.830573081970215
mps-uncap,0.7,13.527393341064453,13.432502746582031,12.743115425109863
mps-uncap,0.1,19.053220748901367,11.364459991455078,9.766936302185059
mps-uncap,0.2,15.513181686401367,9.405374526977539,8.726716041564941
mps-uncap,0.3,11.571168899536133,7.719516754150391,7.3184967041015625
mps-uncap,0.4,10.910749435424805,6.898164749145508,6.283044815063477
