mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,218.85340452194217,243.606338500977,201.20015144348142
mps-uncap,0.9,2568.2420802116394,4351.179742813109,4693.293745517731
mps-uncap,1.0,8140.8338737487775,2172.7110862731934,10583.207094669344
mps-uncap,0.5,33.17557573318484,20.395016670227008,16.55328035354614
mps-uncap,0.6,46.612443923950195,30.410361289978017,21.862344741821282
mps-uncap,0.7,44.189362525939934,68.43822479248048,74.32396173477177
mps-uncap,0.1,22.126245498657266,15.01014709472657,13.955934047698973
mps-uncap,0.2,21.310234069824215,19.11447525024414,14.673829078674347
mps-uncap,0.3,19.283323287963867,15.571746826171886,14.802832603454585
mps-uncap,0.4,23.578062057495114,16.09857082366944,13.85228633880615
