mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_mobilenet_v3_small-32
mps-uncap,0.8,230.3688406944275,249.84101295471217,207.23736286163327
mps-uncap,0.9,2579.87952709198,4356.709575653076,4699.36735868454
mps-uncap,1.0,8152.419025897977,2177.7441263198853,10588.912260532383
mps-uncap,0.5,43.837428092956614,25.443983078002905,21.476783752441406
mps-uncap,0.6,56.59337997436518,35.731101036071756,27.094030380249016
mps-uncap,0.7,53.65435600280761,74.50115203857438,80.04632234573378
mps-uncap,0.1,37.074160575866706,24.778947830200195,23.28650951385498
mps-uncap,0.2,33.4104537963867,26.797914505004876,22.026038169860843
mps-uncap,0.3,29.23762321472168,22.552185058593757,20.535931587219203
mps-uncap,0.4,33.33159446716308,21.088876724243164,19.259693622589097
