mode,load,0_efficientnet_b5-4,1_vgg13-32,2_vgg16-16
mps-uncap,0.8,21.742504275043743,1002.0931803963914,522.6958046934984
mps-uncap,0.9,23.000961058011782,1122.4115417964097,573.635653503747
mps-uncap,1.0,28.34375054200554,1280.198550409212,637.9279945204006
mps-uncap,0.5,13.164657990189115,674.2011872524565,313.53435225628505
mps-uncap,0.6,15.624624032024894,776.0328565839405,392.78475367610736
mps-uncap,0.7,17.93312529703725,884.0869636766976,433.4188798394648
mps-uncap,0.1,3.4764481029414895,137.25550866365919,70.36168764695061
mps-uncap,0.2,5.85857384432097,235.94636753511475,132.32036343494545
mps-uncap,0.3,7.003456407737393,359.34595834036963,192.8867411983229
mps-uncap,0.4,9.975615246840198,506.5673979906389,253.32555308633758
