mode,load,0_densenet161-4,1_densenet201-2,2_vgg13-2
mps-uncap,0.8,305.8925318717957,492.25495338439936,48.441116809844985
mps-uncap,0.9,4320.852313041687,3691.243360042572,1685.9798669815061
mps-uncap,1.0,9403.242511749268,10470.127601623535,8092.123603820801
mps-uncap,0.5,53.76292228698721,99.85231399536136,7.914321422576899
mps-uncap,0.6,92.5499248504637,162.24112510681164,11.527366638183574
mps-uncap,0.7,111.1337661743164,219.6997117996219,18.748655319213874
mps-uncap,0.1,23.692088127136234,21.508231163024913,2.594146728515625
mps-uncap,0.2,29.103326797485362,27.825975418090838,3.0292987823486284
mps-uncap,0.3,27.156133651733402,46.85752391815169,4.475400447845472
mps-uncap,0.4,41.873455047607415,76.89321517944333,5.5842304229736275
