mode,load,0_densenet161-4,1_densenet201-2,2_vgg13-2
mps-uncap,0.8,0.012874603271484375,0.013828277587890625,0.009298324584960938
mps-uncap,0.9,0.0133514404296875,0.015020370483398438,0.011682510375976562
mps-uncap,1.0,0.020503997802734375,0.04482269287109375,0.011920928955078125
mps-uncap,0.5,0.0133514404296875,0.010728836059570312,0.009775161743164062
mps-uncap,0.6,0.012159347534179688,0.010967254638671875,0.009059906005859375
mps-uncap,0.7,0.01239776611328125,0.012874603271484375,0.008821487426757812
mps-uncap,0.1,0.014066696166992188,0.012636184692382812,0.013113021850585938
mps-uncap,0.2,0.010013580322265625,0.012874603271484375,0.011205673217773438
mps-uncap,0.3,0.012874603271484375,0.01239776611328125,0.011205673217773438
mps-uncap,0.4,0.010728836059570312,0.012636184692382812,0.009298324584960938
