mode,load,0_resnet101-4,1_resnet101-4
mig,0.1,0.012159347534179688,0.011682510375976562
mig,0.2,0.011205673217773438,0.011682510375976562
mig,0.3,0.0095367431640625,0.009775161743164062
mig,0.4,0.010013580322265625,0.009059906005859375
mig,0.5,0.011444091796875,0.010013580322265625
mig,0.6,0.009775161743164062,0.009775161743164062
mig,0.7,0.012636184692382812,0.01239776611328125
mig,0.8,0.012874603271484375,0.012636184692382812
mig,0.9,0.015497207641601562,0.012874603271484375
mig,1.0,0.012636184692382812,0.012159347534179688
