mode,load,0_densenet121-8,1_mobilenet_v3_small-16,2_squeezenet1_0-4
mps-uncap,0.8,586.1678830824528,3773.331495005491,1611.080997450397
mps-uncap,0.9,658.6786323406785,3625.4951924380384,1784.8080722067361
mps-uncap,1.0,657.1729752214206,3676.0107297996014,1874.799763421508
mps-uncap,0.5,370.11723370408555,2363.7876657613992,988.3998057507674
mps-uncap,0.6,446.24490213750954,2762.707655306242,1185.5944600928035
mps-uncap,0.7,521.9076784622691,3384.288019519118,1414.4626121564743
mps-uncap,0.1,74.21373568000757,471.66729130373704,201.5834690487734
mps-uncap,0.2,150.4795578322685,952.6827351310615,405.32037898792476
mps-uncap,0.3,210.68747378422032,1400.767857669766,601.2061854732001
mps-uncap,0.4,282.121130972753,1900.288539676388,805.164321652401
