mode,load,0_densenet121-8,1_mobilenet_v3_small-16,2_squeezenet1_0-4
mps-uncap,0.8,175.3458285331726,706.8746662139893,103.86421203613281
mps-uncap,0.9,889.4884276390076,8707.426624298096,1743.160762786865
mps-uncap,1.0,8154.647922515869,13231.73785209656,3939.1033792495728
mps-uncap,0.5,49.305713176727345,24.70975399017334,7.837882041931152
mps-uncap,0.6,69.5636463165283,36.73332691192622,10.69271326065063
mps-uncap,0.7,103.0828475952148,87.82435417175293,17.043924331665036
mps-uncap,0.1,24.792222976684574,16.435432434082024,5.475759506225583
mps-uncap,0.2,28.38596343994143,16.679534912109364,7.5832152366638335
mps-uncap,0.3,28.451986312866183,14.223170280456559,6.7854309082031
mps-uncap,0.4,33.34169387817389,17.00446128845215,6.858899593353271
