mode,load,0_mobilenet_v2-16,1_resnet34-16,2_resnet50-4
mps-uncap,0.8,2197.75313677164,1628.7225866579247,402.55167980948653
mps-uncap,0.9,2446.5921800391275,1855.7897433919563,451.5358131899089
mps-uncap,1.0,2697.496603691414,2011.769552664515,515.9966972472766
mps-uncap,0.5,1377.9935761695276,983.8558385996861,245.2766537839191
mps-uncap,0.6,1643.320754728148,1217.9043527358813,297.1110617630686
mps-uncap,0.7,1922.519331013792,1448.0823383073703,359.55852528477897
mps-uncap,0.1,271.39981121567956,203.41823565481207,51.68276910367679
mps-uncap,0.2,567.9727770081442,410.35578191530897,100.03636981855551
mps-uncap,0.3,813.9323012325068,622.0467236666827,157.17349604847016
mps-uncap,0.4,1092.4436089359763,811.013633458486,205.55811906680108
