mode,load,0_mobilenet_v2-16,1_resnet34-16,2_resnet50-4
mps-uncap,0.8,4.587411880493164,6.1244964599609375,5.419015884399414
mps-uncap,0.9,5.053520202636719,6.781578063964844,6.44373893737793
mps-uncap,1.0,5.567312240600586,7.702231407165527,6.9141387939453125
mps-uncap,0.5,5.312442779541016,5.2710771560668945,6.455898284912109
mps-uncap,0.6,4.687786102294922,5.308866500854492,6.133317947387695
mps-uncap,0.7,4.454135894775391,5.62286376953125,5.364418029785156
mps-uncap,0.1,5.923986434936523,5.142927169799805,6.808042526245117
mps-uncap,0.2,5.910992622375488,4.807710647583008,6.378173828125
mps-uncap,0.3,5.823612213134766,4.953622817993164,6.554841995239258
mps-uncap,0.4,5.465030670166016,5.15437126159668,6.584644317626953
