mode,load,0_mobilenet_v3_large-4,1_resnet50-8,2_squeezenet1_1-4
mps-uncap,0.8,3.7686920166015625,5.6949663162231445,2.419214248657226
mps-uncap,0.9,3.7310123443603516,5.78761100769043,2.3095107078552246
mps-uncap,1.0,3.748331069946289,5.817923545837402,2.3598670959472656
mps-uncap,0.5,6.027269363403319,7.00550556182861,2.799701690673828
mps-uncap,0.6,4.888486862182617,6.402342319488525,2.6175975799560547
mps-uncap,0.7,4.5684814453125,6.014897823333739,2.3965835571289062
mps-uncap,0.1,8.227090835571289,7.666170597076416,3.1167030334472656
mps-uncap,0.2,7.986111640930172,7.6261091232299805,2.9698657989501953
mps-uncap,0.3,7.732696533203125,7.674674987792969,3.049612045288086
mps-uncap,0.4,7.292437553405763,7.440128326416016,2.8977394104003906
