mode,load,0_mobilenet_v3_large-4,1_resnet50-8,2_squeezenet1_1-4
mps-uncap,0.8,2.99072265625,4.975318908691406,1.7008781433105469
mps-uncap,0.9,3.166675567626953,5.2558183670043945,1.6672611236572266
mps-uncap,1.0,3.273487091064453,5.475282669067383,1.7554759979248047
mps-uncap,0.5,3.131866455078125,4.80198860168457,2.259492874145508
mps-uncap,0.6,2.9706954956054688,4.770517349243164,1.8112659454345703
mps-uncap,0.7,3.0074119567871094,4.818201065063477,1.664876937866211
mps-uncap,0.1,6.912469863891602,6.534934043884277,2.5436878204345703
mps-uncap,0.2,6.637334823608398,6.577014923095703,2.519845962524414
mps-uncap,0.3,4.742741584777832,6.690740585327148,2.6247501373291016
mps-uncap,0.4,4.447698593139648,6.114006042480469,2.4149417877197266
