mode,load,0_mobilenet_v3_large-4,1_resnet50-8,2_squeezenet1_1-4
mps-uncap,0.8,924.3700995627541,1173.2191797156988,1501.6829040664966
mps-uncap,0.9,1024.601675711509,1331.7919693973522,1747.5890693931206
mps-uncap,1.0,1158.9114920715886,1477.2872563864116,1866.1953515498906
mps-uncap,0.5,570.1895463626959,727.8099094273053,957.9249661689325
mps-uncap,0.6,693.6066236909124,882.8392934750518,1117.8072517586475
mps-uncap,0.7,805.2808296717786,1056.6470346866718,1300.2191155634343
mps-uncap,0.1,113.27951914739556,144.33689763936997,193.0455307123874
mps-uncap,0.2,232.251922652831,292.02987887705706,376.7190663327242
mps-uncap,0.3,343.9920568487223,437.33884306285125,581.0951288393378
mps-uncap,0.4,463.1226443545775,588.32705027954,755.739822035521
