mode,load,0_mobilenet_v3_large-4,1_resnet50-8,2_squeezenet1_1-4
mps-uncap,0.8,5.359888076782227,6.810426712036133,3.244638442993164
mps-uncap,0.9,4.874944686889648,6.82377815246582,2.933025360107422
mps-uncap,1.0,4.728794097900391,6.980657577514648,3.322124481201172
mps-uncap,0.5,7.750034332275391,7.705450057983398,3.1270980834960938
mps-uncap,0.6,7.32421875,7.703065872192383,3.2958984375
mps-uncap,0.7,6.396293640136719,6.831645965576172,2.8831958770751953
mps-uncap,0.1,10.076045989990234,8.818626403808594,3.743886947631836
mps-uncap,0.2,11.439323425292969,8.900642395019531,3.5445690155029297
mps-uncap,0.3,8.736848831176758,8.563756942749023,3.7660598754882812
mps-uncap,0.4,7.813453674316406,8.05521011352539,3.7865638732910156
