mode,load,0_densenet161-8,1_mobilenet_v3_small-32,2_resnet101-4
mps-uncap,0.8,104.79331016540527,63.00950050354004,110.03637313842773
mps-uncap,0.9,185.18543243408203,66.39981269836426,193.38560104370117
mps-uncap,1.0,1495.4338073730469,443.5551166534424,549.9446392059326
mps-uncap,0.5,51.11813545227051,21.03734016418457,34.95192527770996
mps-uncap,0.6,89.59722518920898,24.47962760925293,52.085161209106445
mps-uncap,0.7,95.19743919372559,33.39529037475586,57.92665481567383
mps-uncap,0.1,23.66352081298828,14.264583587646484,22.83000946044922
mps-uncap,0.2,31.061172485351562,19.153118133544922,23.90432357788086
mps-uncap,0.3,55.243730545043945,24.195194244384766,29.839515686035156
mps-uncap,0.4,44.27695274353027,20.28346061706543,28.690099716186523
