mode,load,0_densenet161-8,1_mobilenet_v3_small-32,2_resnet101-4
mps-uncap,0.8,16.644001007080078,4.010915756225586,8.435964584350586
mps-uncap,0.9,17.208218574523926,4.407525062561035,9.266853332519531
mps-uncap,1.0,19.94919776916504,4.695892333984375,9.656310081481934
mps-uncap,0.5,14.190435409545898,4.422187805175781,8.519887924194336
mps-uncap,0.6,14.634490013122559,4.0847063064575195,8.020162582397461
mps-uncap,0.7,15.238523483276367,3.973245620727539,7.794618606567383
mps-uncap,0.1,22.501349449157715,5.992531776428223,11.94465160369873
mps-uncap,0.2,17.58289337158203,6.085634231567383,11.98434829711914
mps-uncap,0.3,16.369223594665527,6.075263023376465,11.470794677734375
mps-uncap,0.4,15.205621719360352,5.579352378845215,9.138345718383789
