mode,load,0_densenet161-8,1_mobilenet_v3_small-32,2_resnet101-4
mps-uncap,0.8,313.8226172079758,5018.319213347444,325.6987051175857
mps-uncap,0.9,355.85175671547177,5646.178148851607,354.268666760397
mps-uncap,1.0,389.58031810080485,6277.11598132781,400.01841337088996
mps-uncap,0.5,205.25024462229442,3150.2797894579435,196.48286831685388
mps-uncap,0.6,234.99226881198308,3702.2690728941616,241.71973945719512
mps-uncap,0.7,277.512827668006,4418.051572328949,269.2361171408074
mps-uncap,0.1,38.27136823224181,618.4791678144531,38.40631054616405
mps-uncap,0.2,76.372028385437,1297.8197410708594,75.47998024545821
mps-uncap,0.3,120.61709260834404,1847.7049876567596,116.75916127410244
mps-uncap,0.4,158.20222664992866,2496.707237043216,154.27743614802222
