mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,0.012159347534179688,0.010967254638671875,0.0133514404296875
mig,0.6,0.0133514404296875,0.010967254638671875,0.013589859008789062
mps-uncap,0.7,0.0133514404296875,0.01049041748046875,0.013113021850585938
mig,0.7,0.013828277587890625,0.010967254638671875,0.013828277587890625
mps-uncap,0.8,0.013828277587890625,0.010728836059570312,0.012874603271484375
mig,0.8,0.013828277587890625,0.011205673217773438,0.013113021850585938
mps-uncap,0.9,0.01430511474609375,0.011444091796875,0.0133514404296875
mig,0.9,0.014066696166992188,0.010728836059570312,0.013828277587890625
mps-uncap,1.0,0.014781951904296875,0.010967254638671875,0.012874603271484375
mig,1.0,0.015974044799804688,0.011205673217773438,0.013113021850585938
mps-uncap,1.1,0.023126602172851562,0.013589859008789062,0.012874603271484375
mig,1.1,0.015020370483398438,0.011444091796875,0.016689300537109375
mps-uncap,1.2,0.018358230590820312,0.012874603271484375,0.011682510375976562
mig,1.2,0.015735626220703125,0.01239776611328125,0.019311904907226562
mps-uncap,1.3,0.019073486328125,0.012636184692382812,0.013589859008789062
mig,1.3,0.019073486328125,0.013113021850585938,0.018596649169921875
