mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,86.07581138610841,22.296831607818625,37.78111219406129
mig,0.6,111.91729068756085,8.166279792785655,190.8713555335998
mps-uncap,0.7,107.20716476440437,28.02386522293092,38.56992721557617
mig,0.7,134.19631958007812,9.73435640335085,234.66504096984877
mps-uncap,0.8,173.8092422485349,59.98938798904415,44.5643472671508
mig,0.8,191.61212921142575,13.8991355895996,581.9969081878661
mps-uncap,0.9,401.4957046508789,172.90942192077608,46.834430694579986
mig,0.9,580.0060272216793,22.17904090881346,632.3759078979489
mps-uncap,1.0,1774.8465418815601,947.2207546234131,53.08061838150031
mig,1.0,1674.3202209472659,69.7731590270996,1851.7272186279297
mps-uncap,1.1,10008.785247802734,12162.739386558533,60.01505851745605
mig,1.1,7937.875878810882,5327.907514572144,7505.3341603279105
mps-uncap,1.2,18900.90267181396,20714.629411697388,65.68711757659933
mig,1.2,15320.037412643433,11538.05524110794,13450.584199428557
mps-uncap,1.3,28252.465903759003,28176.44566297531,69.58497047424316
mig,1.3,20511.05825424194,16671.981477737427,21573.947281837463
