mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,13.741016387939453,1.0497570037841797,14.348387718200684
mig,0.6,19.931554794311523,1.4617443084716797,40.65060615539551
mps-uncap,0.7,14.14036750793457,0.9717941284179688,14.458298683166504
mig,0.7,19.98305320739746,1.4624595642089844,40.65847396850586
mps-uncap,0.8,14.890432357788086,0.9667873382568359,14.645099639892578
mig,0.8,20.090103149414062,1.4641284942626953,40.900468826293945
mps-uncap,0.9,15.428543090820312,0.9932518005371094,14.868736267089844
mig,0.9,20.31576633453369,1.4705657958984375,41.06926918029785
mps-uncap,1.0,15.524864196777344,1.001596450805664,15.050172805786133
mig,1.0,20.514607429504395,1.4796257019042969,41.330814361572266
mps-uncap,1.1,15.704154968261719,1.0311603546142578,15.206575393676758
mig,1.1,20.583391189575195,1.482248306274414,41.44930839538574
mps-uncap,1.2,16.33143424987793,1.0488033294677734,15.084981918334961
mig,1.2,20.583748817443848,1.4841556549072266,41.50378704071045
mps-uncap,1.3,16.527533531188965,1.0707378387451172,15.124082565307617
mig,1.3,20.53654193878174,1.4805793762207031,41.49818420410156
