mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,48.21276664733887,10.674715042114258,25.396108627319336
mig,0.6,33.18357467651367,15.001535415649414,47.0583438873291
mps-uncap,0.7,47.72806167602539,10.751724243164062,22.166967391967773
mig,0.7,35.75015068054199,14.870166778564453,49.895286560058594
mps-uncap,0.8,50.2161979675293,12.109756469726562,22.672414779663086
mig,0.8,34.51871871948242,13.52238655090332,47.9130744934082
mps-uncap,0.9,53.157806396484375,10.776281356811523,23.21028709411621
mig,0.9,31.227827072143555,9.38105583190918,45.92752456665039
mps-uncap,1.0,57.31678009033203,10.422229766845703,22.81332015991211
mig,1.0,28.44858169555664,9.904861450195312,46.85640335083008
mps-uncap,1.1,57.62362480163574,15.477895736694336,25.699377059936523
mig,1.1,28.358936309814453,9.564876556396484,50.9188175201416
mps-uncap,1.2,51.93066596984863,19.717693328857422,22.6132869720459
mig,1.2,25.627851486206055,10.876893997192383,46.18549346923828
mps-uncap,1.3,61.25998497009277,20.4470157623291,21.966218948364258
mig,1.3,28.199434280395508,15.837430953979492,45.54128646850586
