mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,925.3103235520003,754.6366692766464,236.13944230589166
mig,0.6,928.2275953055082,777.6702227217221,236.57917414437537
mps-uncap,0.7,1069.3716264373654,893.457856299139,258.2988669644451
mig,0.7,1022.6248119615681,894.5776227481838,266.33039537072045
mps-uncap,0.8,1194.3876199947088,1026.1911577770188,311.2128281986274
mig,0.8,1235.899393818173,1029.6056255196777,302.5073566433012
mps-uncap,0.9,1389.0964621786363,1154.5865386724838,355.7185291479097
mig,0.9,1343.0259682792964,1170.4365635927322,341.61953204341165
mps-uncap,1.0,1495.5536549427547,1275.021904439358,382.20730497372
mig,1.0,1516.9754111078812,1236.2316089514627,369.46567963042116
mps-uncap,1.1,1477.2362812273282,1199.41297797171,429.9757387144119
mig,1.1,1517.5748032126971,1313.9204179837193,383.15604384547896
mps-uncap,1.2,1452.2137567462487,1149.7503726368468,458.94211141861064
mig,1.2,1516.8444003863262,1314.2237305547596,383.37917677282076
mps-uncap,1.3,1390.8043493474959,1132.2470484291987,488.2577810389332
mig,1.3,1515.0704292718642,1312.7518135628652,383.10623140337844
