mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,39.99382972717286,6.6016864776611355,19.9924635887146
mig,0.6,24.064066410064697,2.118558883666993,43.83014440536498
mps-uncap,0.7,41.49349212646485,6.697442531585695,19.89191770553589
mig,0.7,24.023013114929196,2.106904983520508,43.88489961624146
mps-uncap,0.8,45.12343406677246,6.921169757843017,20.53118705749511
mig,0.8,24.138290882110592,2.117366790771484,43.984661102294915
mps-uncap,0.9,46.88516139984131,7.165966033935538,20.719642639160156
mig,0.9,24.354684352874756,2.1347856521606414,44.26151275634765
mps-uncap,1.0,50.55673837661742,6.780903339385986,20.36328315734865
mig,1.0,24.433717727661136,2.1719932556152344,44.56112861633301
mps-uncap,1.1,51.70845985412598,7.013649940490722,20.247528553009033
mig,1.1,24.50968027114868,2.16381549835205,44.854345321655266
mps-uncap,1.2,47.89939880371093,7.5270152091979785,20.464663505554203
mig,1.2,24.329650402069092,2.1629929542541504,44.97636795043945
mps-uncap,1.3,52.1156907081604,7.124483585357666,20.202198028564453
mig,1.3,24.734153747558594,2.160787582397461,44.713613986968994
