mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,27.803468704223643,6.842851638793949,10.625362396240236
mig,0.6,42.88408756256105,2.8934478759765625,84.83684062957762
mps-uncap,0.7,40.09842872619629,9.664988517761234,9.723186492919922
mig,0.7,55.919742584228516,4.039812088012698,107.02815055847174
mps-uncap,0.8,70.27792930603027,22.263240814208988,13.417291641235352
mig,0.8,99.0663766860962,6.171941757202152,251.55167579650885
mps-uncap,0.9,175.23841857910162,58.24306011199951,13.818120956420898
mig,0.9,202.44181156158447,12.09077835083008,300.4122257232668
mps-uncap,1.0,1083.8575601577763,825.7642507553102,15.833497047424316
mig,1.0,1449.3391752243042,42.69747734069827,1299.803066253662
mps-uncap,1.1,9652.673959732056,11181.90598487854,19.157218933105472
mig,1.1,7360.950946807861,4846.559762954712,7221.162438392639
mps-uncap,1.2,17447.699975967418,18896.13711833954,19.852662086486834
mig,1.2,13625.428080558777,10488.280653953552,11882.244372367859
mps-uncap,1.3,26620.971083641052,26023.847460746765,24.512767791748043
mig,1.3,18819.694352149963,15166.36073589325,19406.754064559937
