mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,45.521116256713874,8.894658088684082,25.135970115661625
mig,0.6,63.036561012268066,4.448747634887695,125.57663917541501
mps-uncap,0.7,57.661199569702156,11.598920822143556,24.15168285369873
mig,0.7,76.4629840850831,5.559682846069336,148.18089008331302
mps-uncap,0.8,90.0261402130127,24.009680747985847,28.69589328765869
mig,0.8,119.86873149871829,7.68418312072754,292.8655624389649
mps-uncap,0.9,195.72401046752935,59.94622707366944,29.195690155029297
mig,0.9,223.04487228393555,13.586282730102539,341.6763782501222
mps-uncap,1.0,1103.3033847808838,827.1926164627077,31.369328498840332
mig,1.0,1470.018482208252,44.2105770111084,1341.2580490112305
mps-uncap,1.1,9673.6159324646,11183.219480514526,34.84802246093751
mig,1.1,7381.379842758179,4848.228693008423,7264.820575714111
mps-uncap,1.2,17490.289306640625,18901.651549339294,35.60402393341067
mig,1.2,13646.955966949463,10489.7540807724,11924.352192878723
mps-uncap,1.3,26639.75465297699,26027.027249336243,40.52877426147461
mig,1.3,18840.335536003113,15167.840242385864,19448.161911964417
