mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,139.3759250640869,43.243408203125,56.74147605895996
mig,0.6,140.45143127441406,15.215396881103516,262.5465393066406
mps-uncap,0.7,136.38925552368164,57.917118072509766,51.63836479187012
mig,0.7,211.3938331604004,18.869638442993164,302.520751953125
mps-uncap,0.8,305.01580238342285,97.76544570922852,58.14862251281738
mig,0.8,239.15696144104004,22.324800491333008,711.9784355163574
mps-uncap,0.9,551.1147975921631,243.46590042114258,84.66148376464844
mig,0.9,668.8487529754639,32.346248626708984,805.3357601165771
mps-uncap,1.0,1949.70703125,980.527400970459,75.64139366149902
mig,1.0,1812.5779628753662,86.91668510437012,1991.065263748169
mps-uncap,1.1,10108.570098876953,12220.489501953125,124.35173988342285
mig,1.1,8027.383089065552,5389.525651931763,7668.2116985321045
mps-uncap,1.2,19300.718545913696,20964.574337005615,119.60673332214355
mig,1.2,15496.518611907959,11621.612548828125,13818.27998161316
mps-uncap,1.3,28406.585454940796,28403.718948364258,95.80588340759277
mig,1.3,20853.9559841156,16908.63084793091,21872.86424636841
