mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,122.26057052612305,42.17100143432617,41.64004325866699
mig,0.6,120.48673629760742,13.740301132202148,221.02713584899902
mps-uncap,0.7,124.04680252075195,55.16672134399414,36.95344924926758
mig,0.7,191.75457954406738,17.246484756469727,261.7759704589844
mps-uncap,0.8,289.16430473327637,96.79365158081055,43.03598403930664
mig,0.8,218.062162399292,20.853519439697266,669.9120998382568
mps-uncap,0.9,524.0893363952637,241.91570281982422,67.14487075805664
mig,0.9,648.2057571411133,30.88545799255371,763.6184692382812
mps-uncap,1.0,1924.3559837341309,978.9886474609375,60.99104881286621
mig,1.0,1790.4150485992432,85.42966842651367,1949.9197006225586
mps-uncap,1.1,10093.847036361694,12211.008787155151,107.45549201965332
mig,1.1,8006.993055343628,5388.071060180664,7626.567602157593
mps-uncap,1.2,19288.29026222229,20948.071479797363,104.65168952941895
mig,1.2,15475.899934768677,11615.036487579346,13777.436256408691
mps-uncap,1.3,28378.838062286377,28386.955738067627,80.87849617004395
mig,1.3,20833.802938461304,16902.779817581177,21832.152605056763
