mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,20.766496658325195,1.5166997909545898,15.107154846191406
mig,0.6,28.307795524597168,2.001523971557617,56.90717697143555
mps-uncap,0.7,24.035215377807617,1.8851757049560547,15.308737754821777
mig,0.7,32.462120056152344,2.4700164794921875,69.37611103057861
mps-uncap,0.8,33.37287902832031,3.5632848739624023,15.927672386169434
mig,0.8,44.545769691467285,3.000497817993164,95.89362144470215
mps-uncap,0.9,62.04962730407715,12.961626052856445,16.406536102294922
mig,0.9,69.47362422943115,5.097389221191406,122.49374389648438
mps-uncap,1.0,288.083553314209,494.30620670318604,16.670942306518555
mig,1.0,691.2474632263184,11.665821075439453,341.6790962219238
mps-uncap,1.1,5248.749494552612,6092.071771621704,17.12214946746826
mig,1.1,3475.115180015564,2566.2014484405518,4998.6114501953125
mps-uncap,1.2,10146.58498764038,10157.625555992126,17.137885093688965
mig,1.2,6184.864044189453,5711.13908290863,6501.340985298157
mps-uncap,1.3,14547.345161437988,14015.48433303833,17.883777618408203
mig,1.3,10595.590829849243,8255.496382713318,10889.269828796387
