mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,64.19591903686523,20.10984659194947,23.108551502227794
mig,0.6,90.72180271148679,6.630907058715829,150.0715327262878
mps-uncap,0.7,91.91808700561523,25.863490104675304,23.486435413360596
mig,0.7,113.37121963500977,8.198015689849857,194.14426803588896
mps-uncap,0.8,156.2060832977294,58.148825168609584,28.92119646072386
mig,0.8,171.06141090393064,12.411394119262692,540.7043600082397
mps-uncap,0.9,385.9395694732666,171.09546184539786,31.56757354736324
mig,0.9,559.6279382705685,20.667591094970664,588.7853431701658
mps-uncap,1.0,1753.78427028656,945.6216931343076,36.749649047851634
mig,1.0,1652.5000977516177,68.28511238098145,1810.2858352661133
mps-uncap,1.1,9986.729145050049,12161.362915039062,44.774532318115234
mig,1.1,7916.0770535469055,5326.396346092224,7462.79690504074
mps-uncap,1.2,18867.07527160644,20713.60241174698,50.469670295715495
mig,1.2,15299.467194080353,11535.800457000732,13408.93714904785
mps-uncap,1.3,28226.95163488388,28175.378382205963,54.10520553588869
mig,1.3,20490.652623176575,16670.5002784729,21532.372250556946
