mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,25.071287155151367,2.680540084838867,17.185521125793457
mig,0.6,22.635364532470703,1.6663074493408203,42.18146800994873
mps-uncap,0.7,25.593948364257812,2.6731491088867188,17.168164253234863
mig,0.7,22.575426101684574,1.6269683837890625,42.04559326171875
mps-uncap,0.8,27.97412872314453,2.785634994506837,17.321133613586426
mig,0.8,22.614431381225586,1.604318618774414,42.14596748352051
mps-uncap,0.9,30.240964889526378,2.8733491897583017,17.67129898071289
mig,0.9,22.77970314025879,1.5926361083984375,42.09284782409668
mps-uncap,1.0,35.192275047302246,2.8592824935913095,17.381668090820312
mig,1.0,23.018717765808105,1.5861988067626953,42.16494560241699
mps-uncap,1.1,36.844730377197266,3.1387805938720703,17.570948600769047
mig,1.1,23.14889430999756,1.5866756439208984,42.386746406555176
mps-uncap,1.2,36.61298751831055,3.4551620483398438,17.58747100830078
mig,1.2,23.134708404541016,1.5833377838134766,42.42663383483887
mps-uncap,1.3,39.51549530029297,3.371000289916992,17.42410659790039
mig,1.3,23.28009605407715,1.6007423400878906,42.61465072631836
