mode,load,0_inception_v3-32,1_alexnet-2,2_vgg19-16
mps-uncap,0.6,0.036716461181640625,0.17881393432617188,0.026106834411621094
mig,0.6,7.652044296264648,0.44989585876464844,15.825986862182617
mps-uncap,0.7,4.617452621459961,0.6022453308105469,0.018835067749023438
mig,0.7,12.093305587768555,0.9680986404418945,28.517842292785645
mps-uncap,0.8,13.643980026245117,2.0394325256347656,0.018358230590820312
mig,0.8,23.994922637939453,1.489877700805664,54.892539978027344
mps-uncap,0.9,41.899681091308594,11.303305625915527,0.018835067749023438
mig,0.9,48.71189594268799,3.592967987060547,81.2993049621582
mps-uncap,1.0,264.5672559738159,492.864727973938,0.018596649169921875
mig,1.0,669.4633960723877,10.143041610717773,300.16517639160156
mps-uncap,1.1,5221.256256103516,6089.735507965088,0.018596649169921875
mig,1.1,3454.463243484497,2564.7294521331787,4957.11362361908
mps-uncap,1.2,10125.916957855225,10156.421780586243,0.019311904907226562
mig,1.2,6163.269281387329,5709.680557250977,6459.502577781677
mps-uncap,1.3,14529.317259788513,14014.106273651123,0.025987625122070312
mig,1.3,10574.984192848206,8254.04155254364,10846.800327301025
